"code","description",,,,
1,"Cattle and calves",,,,
2,"Hogs",,,,
3,"Poultry",,,,
4,"Other live animals",,,,
5,"Wheat, unmilled",,,,
6,"Corn, barley, oats and other grains",,,,
7,"Fluid milk, unprocessed",,,,
8,"Eggs in the shell",,,,
9,"Honey and beeswax",,,,
10,"Fresh fruit, excluding tropical",,,,
11,"Vegetables, fresh or chilled",,,,
12,"Hay and straw",,,,
13,"Seeds, excluding oil seeds",,,,
14,"Nursery stock, flowers, and other horticulture products",,,,
14,"Nursery stock, flowers, etcetera",,,,
15,"Canola, soybeans and other oil seeds",,,,
16,"Raw tobacco",,,,
17,"Raw wool and mink skins",,,,
18,"Services incidental to agriculture and forestry",,,,
19,"Logs, bolts and poles",,,,
19,"Logs, bolts, poles and other wood in the rough",,,,
20,"Pulpwood",,,,
21,"Other forestry products",,,,
22,"Custom forestry",,,,
23,"Fish and seafood, fresh, chilled",,,,
23,"Fish and seafood, fresh, chilled or frozen",,,,
24,"Hunting and trapping products",,,,
25,"Gold and alloys in primary forms",,,,
26,"Iron ores and concentrates",,,,
27,"Bauxite and alumina",,,,
28,"Other miscellaneous metal ores and concentrates",,,,
32,"Sulphur",,,,
32,"Sulphur, crude and refined",,,,
33,"Gypsum",,,,
34,"Salt",,,,
35,"Peat",,,,
36,"Clays",,,,
37,"Natural abrasives and industrial diamonds",,,,
38,"Miscellaneous non-metallic minerals",,,,
39,"Sand (excluding silica) and gravel",,,,
39,"Sand and gravel, excluding silica",,,,
40,"Stone and silica",,,,
40,"Stone and silica for industrial use",,,,
41,"Services incidental to mining",,,,
42,"Beef, pork and other meat and edible offal, excluding poultry, fresh, chilled or frozen",,,,
42,"Beef, pork, other meat, fresh, chilled, frozen",,,,
43,"Cured meat",,,,
44,"Prepared meat products",,,,
45,"Animal fat and lard",,,,
46,"Margarine and shortening",,,,
47,"Coal",,,,
47,"Sausage casings",,,,
48,"Crude mineral oils",,,,
48,"Feeds from animal byproducts",,,,
49,"Natural gas, excluding liquefied",,,,
49,"Raw animal hides and skins",,,,
50,"Animal byproducts for industrial use",,,,
51,"Custom work, meat and food",,,,
52,"Poultry, fresh, chilled, frozen",,,,
53,"Miscellaneous dairy products",,,,
53,"Other dairy products",,,,
53,"Bulldozers, farm and garden tractors",,,,
54,"Fresh cream",,,,
55,"Butter",,,,
56,"Cheese",,,,
57,"Ice cream",,,,
58,"Mayonnaise, salad dressing and mustard",,,,
59,"Fish and seafood products",,,,
60,"Other fruit products",,,,
61,"Fruit and jam in airtight containers",,,,
