CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type
"4","Afghanistan","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","2677.0","","G","2494.0","","G","1426.0","","G","1375.0","","G","1320.0","","G","1269.0","","G","1199.0","","G","1115.0","","G","1056.0","","G","832.0","","G","781.0","","G","645.0","","G","359.0","","G","583.0","","G","733.0","","G","997.0","","G","1272.0","","G","1889.0","","G","3777.0","","G","6315.0","","G"," "," "," "," "," "," "," "," "," "
"8","Albania","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","7488.0","","G","3971.0","","G","2387.0","","G","2343.0","","G","1929.0","","G","2087.0","","G","2017.0","","G","1544.0","","G","1753.0","","G","2985.0","","G","3022.0","","G","3223.0","","G","3748.0","","G","4290.0","","G","4114.0","","G","4602.0","","G","4239.0","","G","4492.0","","G","4129.0","","G","3007.0","","G"," "," "," "," "," "," "," "," "," "
"12","Algeria","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","78896.0","","G","81459.0","","G","82262.0","","G","82474.0","","G","86351.0","","G","94693.0","","G","96567.0","","G","88195.0","","G","107080.0","","G","92119.0","","G","87931.0","","G","84293.0","","G","90854.0","","G","92533.0","","G","89493.0","","G","107128.0","","G","107304.0","","G","112742.0","","G","111304.0","","G","121312.0","","G"," "," "," "," "," "," "," "," "," "
"20","Andorra","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","407.0","","G","425.0","","G","458.0","","G","484.0","","G","513.0","","G","524.0","","G","524.0","","G","532.0","","G","535.0","","G","565.0","","G","576.0","","G","546.0","","G","539.0","","G","539.0","","G","517.0","","G"," "," "," "," "," "," "," "," "," "
"24","Angola","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","4430.0","","G","4367.0","","G","4419.0","","G","5801.0","","G","3891.0","","G","11012.0","","G","10491.0","","G","7382.0","","G","7308.0","","G","9156.0","","G","9542.0","","G","9732.0","","G","12666.0","","G","9065.0","","G","18793.0","","G","19156.0","","G","22266.0","","G","25152.0","","G","26025.0","","G","26655.0","","G"," "," "," "," "," "," "," "," "," "
"660","Anguilla","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","18.0","","G","26.0","","G","26.0","","G","33.0","","G","37.0","","G","37.0","","G","40.0","","G","44.0","","G","51.0","","G","51.0","","G","59.0","","G","59.0","","G","59.0","","G"," "," "," "," "," "," "," "," "," "
"28","Antigua and Barbuda","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","301.0","","G","293.0","","G","293.0","","G","308.0","","G","312.0","","G","323.0","","G","323.0","","G","337.0","","G","334.0","","G","348.0","","G","345.0","","G","345.0","","G","363.0","","G","389.0","","G","407.0","","G","411.0","","G","425.0","","G","436.0","","G","447.0","","G","462.0","","G"," "," "," "," "," "," "," "," "," "
"32","Argentina","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","112614.0","","G","117021.0","","G","121447.0","","G","118609.0","","G","123351.0","","G","122547.0","","G","129218.0","","G","134678.0","","G","137674.0","","G","145488.0","","G","141077.0","","G","132632.0","","G","123266.0","","G","133127.0","","G","156170.0","","G","155649.0","","G","171179.0","","G","173588.0","","G","182129.0","","G","174718.0","","G"," "," "," "," "," "," "," "," "," "
"51","Armenia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)"," "," "," "," "," "," ","4052.0","","G","2897.0","","G","2967.0","","G","3491.0","","G","2607.0","","G","3278.0","","G","3407.0","","G","3058.0","","G","3465.0","","G","3542.0","","G","3044.0","","G","3429.0","","G","3645.0","","G","4360.0","","G","4382.0","","G","5068.0","","G","5556.0","","G","4492.0","","G"," "," "," "," "," "," "," "," "," "
"533","Aruba","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1841.0","","G","1929.0","","G","1723.0","","G","1771.0","","G","1764.0","","G","1782.0","","G","1811.0","","G","1852.0","","G","1668.0","","G","1683.0","","G","2233.0","","G","2237.0","","G","2255.0","","G","2255.0","","G","2259.0","","G","2274.0","","G","2274.0","","G","2358.0","","G","2288.0","","G","2296.0","","G"," "," "," "," "," "," "," "," "," "
"36","Australia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","287331.0","","G","281530.0","","G","294456.0","","G","302117.0","","G","303958.0","","G","307434.0","","G","329260.0","","G","333624.0","","G","346913.0","","G","325523.0","","G","329605.0","","G","324860.0","","G","341398.0","","G","346476.0","","G","349223.0","","G","367133.0","","G","377382.0","","G","381357.0","","G","393000.0","","G","400194.0","","G"," "," "," "," "," "," "," "," "," "
