010100,"Dairy farm products","0132, pt. 014"
010200,"Poultry & eggs","0133, 0134, pt. 014"
010301,"Meat, animals", "0135, 0136, 0139, pt. 014, pt. 0729"
010302,"Miscellaneous livestock", "0193, pt. 014"
020100,"Cotton", "0112, pt. 014"
020201,"Food grains", "0113, pt. 014"
020202,"Feed grains", "pt. 0113, pt. 0119, pt. 014"
020203,"Grass seed", "pt. 0119, pt. 014"
020300,"Tobacco", "0114, pt. 014 "
020401,"Fruits", "pt. 0122, pt. 014"
020402,"Tree nuts", "pt. 0122, pt. 014"
020501,"Vegetables", "0123, pt. 014"
020502,"Sugar crops", "pt. 0119, pt. 014"
020503,"Miscellaneous crops", "pt. 0119, pt. 014"
020600,"Oil bearing crops", "pt. 0113, pt. 0119, pt. 014"
020701,"Forest products", "pt. 0192, pt. 014"
020702,"Greenhouse & nursery products", "pt. 0192, pt. 014  "
030000,"Forestry & fishery products", "074, 081, 082, 084, 086, 091"
040000,"Agricultural, forestry & fishery services", "071, 0723, 073, pt. 0729, 085, 098"
050000,"Iron & ferroalloy ores mining","1011, 106"
060100,"Copper ore mining", "102"
060200,"Nonferrous metal ores mining, except copper", "103, 104, 105, 108, 109"
070000,"Coal mining", "11, 12"
080000,"Crude petroleum & natural gas", "1311, 1321"
090000,"Stone & clay mining & quarrying", "141, 142, 144, 145, 148, 149"
100000,"Chemical & fertilizer mineral mining", "147"
110101,"New residential single family housing, nonfarm", "pt. 15, pt. 17, pt. 6561"
110102,"New residential two-four family housing", "pt. 15, pt. 17, pt. 6561"
110103,"New residential garden apartments","pt. 15, pt. 16, pt. 17"
110104,"New residential high-rise apartments", "pt. 15, pt. 16, pt. 17"
110105,"New residential alterations & additions", "pt. 15, pt. 17"
110106,"New hotels & motels", "pt. 15, pt. 17"
110107,"New dormitories", "pt. 15, pt. 17"
110201,"New industrial buildings", "pt. 15, pt. 17"
110202,"New office buildings", "pt. 15, pt. 17"
110203,"New warehouses", "pt. 15, pt. 17"
110204,"New garages & service stations", "pt. 15, pt. 17"
110205,"New stores & restaurants", "pt. 15, pt. 17"
110206,"New religious buildings", "pt. 15, pt. 17"
110207,"New education buildings", "pt. 15, pt. 17"
110208,"New hospital buildings", "pt. 15, pt. 17"
110209,"New other nonfarm buildings", "pt. 15, pt. 17"
110301,"New telephone & telegraph facilities", "pt. 16, pt. 17"
110302,"New railroads", "pt. 16, pt. 17"
110303,"New electric utility facilities", "pt. 16, pt. 17"
110304,"New gas utility facilities", "pt. 16, pt. 17"
110305,"New petroleum pipelines", "pt. 16, pt. 17"
110306,"New water supply facilities", "pt. 16, pt. 17"
110307,"New sewer facilities", "pt. 16, pt. 17"
110308,"New local transit facilities", "pt. 16, pt. 17"
110400,"New highways", "pt. 16, pt. 17"
110501,"New farm residential buildings", "pt. 15, pt. 17"
110502,"New farm service facilities", "pt. 15, pt. 17"
110503,"New oil & gas wells", "pt. 138"
110504,"New oil & gas exploration", "pt. 138"
110505,"New military facilities", "pt. 15, pt. 16, pt. 17"
110506,"New conservation & development facilities", "pt. 15, pt. 16, pt. 17"
110507,"Other new nonbuilding facilities", "pt. 15, pt. 16, pt. 17 "
110508,"New access structures for solid mineral development", "pt. 108, pt. 1112, pt. 1213, pt. 148"
120100,"Maintenance & repair, residential", "pt. 15, pt. 17"
120201,"Maintenance & repair of other nonfarm buildings", "pt. 15, pt. 17"
120202,"Maintenance & repair of farm residential", "pt. 15, pt. 17"
120203,"Maintenance & repair of farm service facilities", "pt. 15, pt. 17"
120204,"Maintenance & repair of telephone & telegraph facilities", "pt. 16, pt. 17"
120205,"Maintenance & repair of railroads", "pt. 16, pt. 17"
120206,"Maintenance & repair of electric utility facilities", "pt. 16, pt. 17"
120207,"Maintenance & repair of gas utility facilities", "pt. 16, pt. 17 "
120208,"Maintenance & repair of petroleum pipelines", "pt. 16, pt.17"
