Financial services furnished without payment (107),Services furnished without payment by financial intermediaries except life insurance carriers and private noninsured pension plans
Furniture,"Furniture, including mattresses & bedsprings"
Sports and recreational vehicles (79),Engines and turbines
Proprietary and government nursing homes,Proprietary and government nursing homes services
"Clothing repair, rental, and alterations","Clothing repair, rental and alterations"
Furniture,"Furniture, including mattresses and bedsprings"
Newspapers and periodicals,"Magazines, newpapers, and sheet music"
Stationery and miscellaneous printed materials,Writing equipment
"Tools, hardware, and supplies",Hand tools
Motor vehicle services,"RPR, GREASING, WASHING, PARKING, STORAGE & RENTALS (S.)"
"Clothing repair, rental, and alterations",STORAGE AND REPAIR OF GARMENTS (S.)
Personal care services,Other personal business services nec
Parking fees and tolls,"BRIDGE, TUNNEL , FERRY & ROAD TOLLS (S.)"
Professional association dues,Clubs and fraternal organizations
Children's and infants' clothing (12),Children's and infant's clothing
Outdoor equipment and supplies,"Special industry machinery, n.e.c."
Sports and recreational vehicles (79),Recreational vehicles and trailers
Nonelectric cookware and tableware,Non-electric cookware and tableware
Household appliances (part of 33),Kitchen and other household appliances
Tax preparation and other related services,Tax return preparation services
Financial services furnished without payment (107),Services furnished without payment by financial inter.
Proprietary and public higher education,Private higher education
Foundations and grantmaking and giving services to households,OTHER PRIVATE EDUCATION AND RESEARCH (S.)
Funeral and burial services,FUNERAL & BURIAL EXPENSES (S.)
New domestic autos,New domestic autos
Pari-mutuel net receipts,Pari-mutuel net receipts
Furniture and furnishings (parts of 31 and 32),Other durable house furnishings
Sports and recreational vehicles (79),Bicycles and motorcycles
Motor vehicle services,"Repair, greasing, washing, parking, storage, and rental"
Admissions to specified spectator amusements,"Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)"
Food purchased for off-premises consumption,Food purchased for off-premises consumption
Information processing equipment,Computers and peripheral equipment
"Membership clubs, sports centers, parks, theaters, and museums (82)",Commercial amusements nec
"Moving, storage, and freight services","Moving, storage and freight services"
"Clothing repair, rental, and alterations","Cleaning, laundering, dyeing, pressing, and alteration of garments"
Pleasure boats,Boats
New foreign autos,NEW FOREIGN AUTOS (D.)
Professional association dues,Clubs and fraternal organizations excluding insurance
"Membership clubs, sports centers, parks, theaters, and museums (82)",Commercial participant amusements nec.
Sports and recreational vehicles (79),RECREATIONAL VEHICLES & TRAILERS (D.)
Housing,TENANT-OCCUPIED NONFARM DWELLINGS - RENT(S .)
Sports and recreational vehicles (79),Recreational vehicles
Newspapers and periodicals,"Magazines, newspapers, and sheet music"
Financial services furnished without payment (107),SERVFURNISHED W/O PAYMENT BY FINANCIAL INTERMEDIARIES (S.)
Labor organization dues,Labor organizations' services
Proprietary hospitals,Proprietary hospitals services
Fuel oil and other fuels (29),FUEL AND COAL (N.D .)
Elementary and secondary school lunches,Elementary and second school lunch
Tobacco (127),Tobacco products
Household cleaning products,Cleaning and polishing preparations
Spectator sports,Spectator Sports
Religious organizations' services to households,Religious organizations' services
"Repair of audio-visual, photographic, and information processing equipment",Radio & television repair
Less: Expenditures in the United States by nonresidents (130),Expenditures in the U.S. by foreigners
Tires,Tires and tubes
Food furnished to employees (including military) (103),Food furnished employees (including military)
Natural gas (28),GAS(S.)
Financial services furnished without payment (107),Services furnished without payment by financial intermediaries excluding life insurance carriers
Admissions to specified spectator amusements,Legitimate theaters and opera and entertainments of nonprofit institutions (except athletic)
"Clothing repair, rental, and alterations","Cleaning, storage, and repair of clothing and shoes"
"Membership clubs, sports centers, parks, theaters, and museums (82)","Commercial participant amusements, nec"
Foundations and grantmaking and giving services to households,"Foundations, nonprofit R & D"
Foreign travel by U.S. residents,FOREIGN TRAVEL BY U.S. RESIDENTS (S.)
"Repair of audio-visual, photographic, and information processing equipment",Radio and television repair
Package tours,Sightseeing
"Glassware, tableware, and household utensils (34)","China, glassware, tableware and utensils"
Nonprofit nursing homes' services to households,Non-profit nursing homes' services
Personal care services,Other private services
